"album"|"album_url"
"Into the Battleground"|"https://is4-ssl.mzstatic.com/image/thumb/Music128/v4/90/ad/fd/90adfd5c-b759-e1ab-72ea-df752891efa7/source/512x512.jpg"
"The Highland Way"|"https://is5-ssl.mzstatic.com/image/thumb/Music128/v4/ea/37/43/ea3743fc-12f5-9e1a-2ba6-054ed725d58a/source/512x512.jpg"
"Worship of the Gods"|"https://is2-ssl.mzstatic.com/image/thumb/Music118/v4/da/a3/57/daa357ed-8ed5-11e3-36a5-51638999a584/source/512x512.jpg"
"For One Pagan Brotherhood"|"https://is5-ssl.mzstatic.com/image/thumb/Music71/v4/76/9e/a2/769ea2d3-9321-c87c-075a-213b452449dd/source/512x512.jpg"
"Break Out"|"https://is5-ssl.mzstatic.com/image/thumb/Music/v4/d3/35/ce/d335ce11-af02-63c8-2cec-ffd637b9d784/source/512x512.jpg"
"The Power & the Will"|"https://is3-ssl.mzstatic.com/image/thumb/Music118/v4/7e/7c/70/7e7c702d-7795-56b4-db69-ea517e6557ea/source/512x512.jpg"
"Rising from Within"|"https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/8f/31/e8/8f31e8c8-8135-eb64-ff8b-48efaebedf29/source/512x512.jpg"
"Ripe for Rebellion (2019 Remastered)"|"https://is5-ssl.mzstatic.com/image/thumb/Music114/v4/5c/c4/cc/5cc4cc48-eb5e-4194-f1c3-1b1ac9845340/source/512x512.jpg"
"El Fin de los Inicuos"|"https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/97/bb/7d/97bb7d09-527c-930c-d98c-28bcd7ef5cba/source/512x512.jpg"
"Wicked Charm"|"https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/dc/df/f7/dcdff7ce-ecbc-7118-4091-fc76127d72ac/source/512x512.jpg"
"Sanguinarian Context"|"https://is4-ssl.mzstatic.com/image/thumb/Music117/v4/d2/71/41/d27141f5-bfa6-a569-6265-29c4a174b38b/source/512x512.jpg"
"Among Mortals"|"https://is4-ssl.mzstatic.com/image/thumb/Music127/v4/e7/4c/bc/e74cbc73-bac4-1c27-4a5c-f3e2b8cb122c/source/512x512.jpg"
"La Voz de los Bosques"|"https://is5-ssl.mzstatic.com/image/thumb/Music/v4/ee/14/14/ee14144e-fae1-532b-4f4c-fdc0df60c2e5/source/512x512.jpg"
"Last Domain"|"https://is2-ssl.mzstatic.com/image/thumb/Music113/v4/50/3a/38/503a38d9-ad63-7099-2f54-59c8e6406efd/source/512x512.jpg"
"Dead or Alive"|"https://is3-ssl.mzstatic.com/image/thumb/Music/v4/6d/1d/67/6d1d67a2-714e-7f5a-ffd4-3894146dc43a/source/512x512.jpg"
"Secrets"|"https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/bd/85/21/bd85219b-7550-b74b-8549-4d42b77c7626/source/512x512.jpg"
"The Darkest Road"|"https://is5-ssl.mzstatic.com/image/thumb/Music115/v4/b1/02/ef/b102ef82-8700-d32a-4066-d3bcf5a12572/source/512x512.jpg"
"Arsenic Idols"|"https://is5-ssl.mzstatic.com/image/thumb/Music/v4/78/22/0a/78220a84-4d25-df6b-f2cc-91c895242b82/source/512x512.jpg"
"Before the Dimming Light - EP"|"https://is2-ssl.mzstatic.com/image/thumb/Music/v4/0c/2b/c5/0c2bc52f-7a8d-2da0-4261-3d401eb01a7c/source/512x512.jpg"
"As All Light Leaves Her"|"https://is5-ssl.mzstatic.com/image/thumb/Music60/v4/17/1b/10/171b10a1-9e7a-4e00-30a2-b0c48ff1a6b7/source/512x512.jpg"
"Requiem (Epilogue)"|"https://is1-ssl.mzstatic.com/image/thumb/Music/v4/35/48/f2/3548f239-4c61-01e4-d662-a15c82119dfb/source/512x512.jpg"
"Eventuality"|"https://is2-ssl.mzstatic.com/image/thumb/Music123/v4/70/79/a0/7079a0f3-8b1a-67d9-5429-5bb31d8b67f8/source/512x512.jpg"
"Natural Causes"|"https://is2-ssl.mzstatic.com/image/thumb/Music6/v4/b5/10/1b/b5101be5-f76d-e560-0276-6da8d3f785fd/source/512x512.jpg"
